Outcome,Fighter,Fightee,Str,TD,Sub,Pass,Str2,TD2,Sub2,Pass2,Name,Date,Method,Misc,Rounds,Time,
win,Tatiana Suarez,Viviane Pereira,71,13,4,0,0,1,13,0,UFC Fight Night: Poirier vs. Pettis,Nov. 11  2017,U-DEC,,3,05:00,
win,Tatiana Suarez,Amanda Cooper,16,1,3,0,1,2,0,0,The Ultimate Fighter 23 Finale,Jul. 08  2016,SUB,D'Arce Choke,1,03:43,
loss,Masanori Suda,Murilo Bustamante,6,4,0,2,0,1,0,1,PRIDE Bushido 9: The Tournament,Sep. 25  2005,SUB,Armbar,1,03:20,
win,Genki Sudo,Mike Brown,6,13,1,1,4,0,0,1,UFC 47: It's On!,Apr. 02  2004,SUB,Triangle Choke,1,03:31,
loss,Genki Sudo,Duane Ludwig,24,38,3,0,0,0,5,0,UFC 42: Sudden Impact,Apr. 25  2003,U-DEC,,3,05:00,
win,Genki Sudo,Leigh Remedios,9,5,2,0,3,0,2,0,UFC 38: Brawl at the Hall,Jul. 13  2002,SUB,Rear Naked Choke,2,01:38,
loss,Daisuke Sugie,Josh Thomson,0,1,1,0,1,1,1,0,PRIDE Bushido 8,Jul. 17  2005,SUB,Kneebar,1,04:35,
win,Takashi Sugiura,Paulo Cesar Silva,12,0,1,0,0,0,2,0,PRIDE Bushido 4,Jul. 19  2004,KO/TKO,Knees,1,02:35,
loss,Takashi Sugiura,Daniel Gracie,19,47,1,1,0,3,0,3,PRIDE 21: Demolition,Jun. 23  2002,S-DEC,,3,05:00,
loss,Naho Sugiyuma,Jessica Penne,19,18,1,1,0,1,0,3,Invicta FC 3: Penne vs. Sugiyuma,Oct. 06  2012,SUB,Triangle Choke,2,02:20,
loss,George Sullivan,Mickey Gall,0,0,0,1,0,1,0,1,UFC Fight Night: Gaethje vs. Vick,Aug. 25  2018,SUB,Rear Naked Choke,1,01:09,
loss,George Sullivan,Niko Price,21,24,1,2,0,3,0,3,UFC Fight Night: Jacare vs. Brunson 2,Jan. 27  2018,SUB,Rear Naked Choke,2,04:21,
loss,George Sullivan,Alexander Yakovlev,14,15,0,2,0,0,0,3,UFC Fight Night: Johnson vs. Bader,Jan. 30  2016,KO/TKO,Punches,1,03:59,
