First,Last,Height,Weight,Reach,Stance,Birth,SLpM,Str. Acc., SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws, Last_3_W, Last_3_L, W_Streak, L_Streak, KOs, Subs, UFC_Fights, Fight_Time,
Felix Lee,Mitchell,--,--,--,Orthodox,--,0,0,0,0,0,0,0,0,2,7,0,0,3,0,3,1,1,14.32,3,
David,Mitchell,"6'0""",170lbs.,"76""",Orthodox,Oct24 1979,1.74,32,2.06,55,0.66,50,29,2,12,4,0,1,2,0,2,1,0,67.92,5,
Danny,Mitchell,"6'2""",170lbs.,"74""",Orthodox,Aug08 1986,2.53,49,2.53,52,0,0,100,3,14,6,1,0,2,0,2,0,0,30,2,
Brad,Mitchell,"5'11""",145lbs.,--,,Oct10 1974,1.15,33,4.2,52,0,0,100,1.9,4,2,0 (1 NC),0,0,0,0,0,0,0,0,
Clay,Mitchell,"6'2""",185lbs.,--,,--,1.63,85,0,0,0,0,100,4.1,1,2,0,0,0,0,0,0,0,0,0,
Bryce,Mitchell,"5'10""",145lbs.,--,Southpaw,Oct04 1994,1.83,48,2,59,1.5,23,33,1.5,11,1,0,2,0,2,0,0,0,30,3,
Maurice,Mitchell,"5'9""",145lbs.,--,Orthodox,Jun29 1987,3.8,55,3.54,60,0,0,100,0,11,1,0,0,0,0,0,0,0,0,0,
Roman,Mitichyan,"5'10""",170lbs.,--,Orthodox,Sep04 1978,0.26,16,2.7,43,1.93,100,25,1.9,7,3,0,1,1,0,1,1,1,7.78,2,
Matt,Mitrione,"6'3""",265lbs.,"79""",Switch,Jul15 1978,3.55,50,2.79,64,0,0,55,0.7,9,5,0,1,2,0,2,10,2,88.1,14,
Eiji,Mitsuoka,"5'7""",145lbs.,--,Southpaw,Jan01 1976,1.49,49,2.26,45,2.3,36,20,1.6,18,9,2,1,2,0,2,2,1,35.62,5,
Hiromitsu,Miura,"5'9""",170lbs.,"71""",Orthodox,Sep22 1981,2.12,34,2.12,58,2.23,50,69,0.6,9,6,0,1,2,0,2,4,0,47.18,5,
Jonathan ,Mix,"6'0""",168lbs.,--,,Nov09 1980,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,
Tomoya,Miyashita,"5'7""",139lbs.,--,Southpaw,--,1.67,65,0.93,33,4,80,0,2,17,9,7,1,0,1,0,0,0,15,1,
Kazuyuki,Miyata,"5'8""",139lbs.,--,Orthodox,--,2.04,52,1.82,63,4.31,46,68,0,11,8,0,1,2,0,2,0,2,82.52,7,
Motoki,Miyazawa,"5'11""",168lbs.,--,Southpaw,--,1.23,28,3.91,61,0,0,0,0,7,3,0,0,1,0,1,1,0,8.95,1,
Takeya,Mizugaki,"5'7""",135lbs.,"68""",Orthodox,Dec16 1983,3.37,37,3.27,57,1.46,57,70,0.1,21,11,2,1,2,0,2,4,2,236.4,19,
Tatsuya,Mizuno,"6'1""",205lbs.,--,Southpaw,Jun02 1981,2.25,37,3.52,53,1.19,25,40,3.6,10,7,1,1,2,1,0,4,2,25.32,6,
Roxanne,Modafferi,"5'7""",125lbs.,"69""",,Sep24 1982,3.3,31,5.31,54,1.51,20,41,0.1,23,17,0,1,2,0,1,2,1,109.37,8,
