First,Last,Height,Weight,Reach,Stance,Birth,SLpM,Str. Acc., SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws, Last_3_W, Last_3_L, W_Streak, L_Streak, KOs, Subs, UFC_Fights, Fight_Time,
Paul,Felder,"5'11""",155lbs.,"70""",Orthodox,Apr25 1984,3.55,43,3.17,50,0.29,27,59,0.3,17,4,0,2,1,2,0,5,1,156.28,13,
Carlos,Felipe,"6'0""",245lbs.,--,,Jan12 1995,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,
JP,Felty,--,170lbs.,--,,Apr28 1979,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,1,9.52,1,
Kevin,Ferguson,"6'2""",235lbs.,--,Orthodox,Feb08 1974,2.3,50,3.41,38,3.1,72,36,1.2,5,2,0 (1 NC),1,2,0,1,5,0,36.3,6,
Rhadi,Ferguson,"5'7""",205lbs.,--,,--,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,7,1,
Tony,Ferguson,"5'11""",155lbs.,"76""",Orthodox,Feb12 1984,5.81,45,3.75,63,0.56,42,75,1.4,26,3,0,3,0,12,0,5,6,161.1,16,
Josh,Ferguson,"5'5""",125lbs.,"66""",Orthodox,May13 1988,2.13,43,4.18,32,0.59,11,54,0,7,5,0,0,2,0,2,0,1,25.37,2,
CJ,Fernandes,"6'2""",170lbs.,--,,Nov13 1977,0,0,0,0,0,0,0,0,14,8,3,0,0,0,0,0,0,10,1,
Bibiano,Fernandes,"5'7""",139lbs.,--,Orthodox,Mar30 1980,2.91,40,2.02,72,3.97,53,77,0.6,10,3,0,3,0,4,0,1,3,69.5,10,
Alexandre,Ferreira,"5'7""",205lbs.,--,Orthodox,Apr25 1979,2.57,60,8.14,42,0,0,0,0,18,6,0,0,1,0,1,1,0,2.33,1,
Cezar,Ferreira,"6'1""",185lbs.,"78""",Southpaw,Feb15 1985,1.9,42,2.44,53,2.69,53,84,0.5,14,8,0,1,2,0,2,3,3,156.3,15,
Diego,Ferreira,"5'9""",155lbs.,"74""",Orthodox,Jan18 1985,5.19,36,3.1,61,0.57,20,70,0.9,16,2,0,3,0,5,0,4,1,79.62,9,
Scott,Ferrozzo,"5'11""",323lbs.,--,Orthodox,Apr26 1965,0,0,0,0,0,0,0,0,4,2,0,2,1,1,0,2,2,27.55,5,
Drew,Fickett,"5'10""",155lbs.,"70""",Orthodox,Dec14 1979,2.33,41,2.29,57,1.3,35,30,2.2,41,16,0,2,1,0,1,2,5,69.08,9,
Scott,Fiedler,"6'4""",235lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2.42,1,
Ron,Fields,"6'2""",200lbs.,--,Orthodox,Nov18 1974,0.33,33,2.64,11,0,0,0,0,25,30,1,0,1,0,1,1,0,3.03,1,
Deiveson,Figueiredo,"5'5""",125lbs.,"68""",Orthodox,Dec18 1987,2.43,52,2.15,55,1.86,50,58,2.3,16,1,0,2,1,1,0,3,0,72.7,7,
Anthony,Figueroa,"5'4""",135lbs.,--,Orthodox,--,2.37,48,3.77,49,0,0,58,0,5,6,1,1,2,0,2,1,2,56.17,6,
Edwin,Figueroa,"5'7""",135lbs.,"69""",Orthodox,Jul31 1984,2.57,39,3.06,51,0.2,100,37,0.6,9,4,0,0,3,0,3,2,0,75.17,6,
Paulo,Filho,"5'8""",185lbs.,--,Southpaw,May24 1978,1.86,48,1.67,66,2.4,32,42,1.6,22,4,2,2,1,1,0,1,7,84.83,12,
Andre,Fili,"5'11""",145lbs.,"74""",Orthodox,Jun25 1990,4.08,37,3.86,53,2.44,46,69,0.2,20,6,0,2,1,2,0,4,2,141.35,13,
Mirko,Cro Cop,"6'2""",230lbs.,"73""",Southpaw,Sep10 1974,2.11,50,1.89,63,0.19,40,78,0.3,31,11,2 (1 NC),1,2,1,0,28,4,312.5,41,
Brady,Fink,"6'0""",183lbs.,--,Orthodox,--,1.69,41,1.69,61,3.63,25,0,3.6,2,3,0,0,1,0,1,0,1,4.13,1,
Jesse,Finney,"6'0""",170lbs.,--,,Jul11 1974,0,0,0,0,0,0,0,0,6,1,0,2,0,2,0,0,2,5.28,2,
Jan,Finney,"5'8""",135lbs.,--,Orthodox,--,2.16,28,8.75,42,0.77,11,25,0,8,10,0,0,2,0,2,2,0,19.43,2,
Luigi,Fioravanti,"5'8""",170lbs.,"70""",Orthodox,Jan22 1981,2.23,42,2.21,69,3.76,63,67,0.9,22,11,0,1,2,0,1,4,1,95.83,9,
Luiz,Firmino,"5'6""",154lbs.,--,Orthodox,Mar18 1982,1.23,50,1.22,51,3.86,45,20,0.9,13,6,0,2,1,0,1,0,2,60.48,7,
Spencer,Fisher,"5'7""",155lbs.,"70""",Southpaw,May09 1976,3.17,43,3.03,64,0.67,30,60,0.8,25,9,0,0,3,0,3,6,2,200.95,17,
Chris,Fishgold,"5'8""",145lbs.,"68""",Orthodox,Jun06 1992,2.53,31,2.53,53,4.55,50,33,1.5,18,3,1,1,2,0,1,1,2,19.77,3,
Bryanna,Fissori,"5'4""",145lbs.,--,,--,1.4,46,1.2,57,2,25,50,0,2,4,0,0,0,0,0,0,0,0,0,
Jon,Fitch,"6'0""",170lbs.,"76""",Orthodox,Feb24 1978,2.61,50,1.65,54,3.6,51,56,0.8,27,5,1 (1 NC),1,2,0,1,2,3,253.97,19,
Rafael,Fiziev,"5'8""",155lbs.,"71""",Switch,Mar05 1993,0.7,100,6.98,16,0,0,0,0,6,1,0,0,1,0,1,1,0,1.43,1,
Colin,Fletcher,"6'2""",155lbs.,"78""",Orthodox,Jan08 1983,3.1,34,2.97,62,0,0,27,0,9,3,0,0,2,0,2,0,0,30,2,
Luke,Flores,"6'0""",155lbs.,--,Southpaw,Mar17 1988,2.11,46,2.34,62,0,0,50,1.8,7,1,0,0,0,0,0,0,0,0,0,
Kenny,Florian,"5'10""",145lbs.,"74""",Southpaw,May26 1976,2.41,40,1.85,63,2.22,33,60,1.3,14,6,0,1,2,0,1,4,9,189.58,18,
Cody,Floyd,--,--,--,,Jul18 1988,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,10.68,1,
Bobby,Flynn,--,170lbs.,--,,--,0.38,25,0.77,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,
Caros,Fodor,"5'9""",155lbs.,"76""",Orthodox,Jan07 1984,2.76,54,2.83,54,2.1,25,50,0,7,3,0,1,2,0,2,2,2,75.65,7,
Mal,Foki,"5'7""",220lbs.,--,Orthodox,--,2.86,14,14.29,54,0,0,0,0,5,5,0,0,1,0,1,1,0,0.35,1,
Matt,Foki,"5'7""",220lbs.,--,Orthodox,--,0,0,3.37,56,0,0,0,0,5,4,0 (1 NC),0,1,0,1,0,1,3.27,1,
AJ,Fonseca,"5'4""",145lbs.,--,,--,0,0,0,0,0,0,0,0,5,4,0,0,1,0,1,0,0,15,1,
Rob,Font,"5'8""",135lbs.,"71""",Orthodox,Jun25 1987,4.94,40,3.88,63,1.29,33,30,0.9,16,4,0,2,1,1,0,4,2,81.37,9,
Claudionor,Fontinelle,"5'5""",185lbs.,--,Orthodox,--,2.62,42,10.25,28,0,0,0,0,9,13,1,0,1,0,1,1,0,4.58,1,
Jesse,Forbes,"6'2""",185lbs.,"75""",Southpaw,Oct24 1984,2.11,24,4.06,53,1.79,75,66,1.2,15,5,0,0,3,0,4,2,1,25.13,4,
Sterling,Ford,"5'10""",155lbs.,--,,Mar12 1986,0,0,0,0,0,0,0,0,13,5,0,1,1,0,1,0,1,19.82,2,
Codale,Ford,"5'9""",170lbs.,--,,May13 1979,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,
Renee,Forte,"5'7""",155lbs.,"71""",Orthodox,Mar27 1987,2.08,32,2.12,63,2.32,58,66,0,8,4,0,1,2,0,2,1,1,45.18,4,
Marcel,Fortuna,"6'1""",205lbs.,"74""",Orthodox,Oct22 1985,3.83,46,4.52,64,0.45,8,75,0.5,9,3,0,1,2,0,2,1,0,33.17,3,
Brian,Foster,"5'9""",170lbs.,"71""",Orthodox,Apr03 1984,3.3,39,1.63,65,3.67,60,37,1.8,18,5,0,2,1,2,0,2,3,24.55,5,
Xavier,Foupa-Pokam,"6'1""",185lbs.,--,OpenStance,Jul03 1982,1.47,43,2.5,49,0,0,16,0,21,16,0,0,2,0,2,1,0,15.62,2,
Mason,Fowler,"5'11""",170lbs.,--,,--,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
Brandon,Foxworth,"5'11""",145lbs.,--,Orthodox,Apr28 1979,1.33,32,4.59,50,0,0,0,0,18,4,0,0,1,0,1,1,0,8.28,1,
Hermes,Franca,"5'6""",155lbs.,"71""",Orthodox,Aug26 1974,1.78,39,2.85,55,1.53,36,37,2.4,22,12,0 (1 NC),1,2,0,1,3,3,157.32,12,
Glaico,Franca,"6'0""",155lbs.,"77""",,Feb28 1991,2.35,42,3.46,47,2.68,42,76,0.3,14,5,0,1,2,0,2,0,1,44.77,3,
Francisco,France,"6'0""",205lbs.,--,,Jan21 1983,0.54,33,3.51,27,0,0,0,6.1,7,3,1,1,0,1,0,0,1,1.45,1,
John,Franchi,"5'6""",145lbs.,"67""",Orthodox,Jul16 1982,1.83,48,2.59,48,2.68,80,40,0.3,6,2,0,1,2,0,2,0,1,44.83,3,
Rich,Franklin,"6'1""",185lbs.,"75""",Southpaw,Oct05 1974,4.1,44,2.07,62,1.31,66,63,0.7,29,7,0 (1 NC),1,2,0,1,17,5,230.4,29,
Zoila,Frausto,"5'4""",135lbs.,--,Orthodox,--,0.77,31,1.64,53,0,0,57,0,11,1,0,1,1,0,1,0,1,24.15,2,
Zane,Frazier,"6'5""",250lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,4,11,0,0,2,0,2,2,0,7.57,2,
Gary,Frazier,"6'0""",245lbs.,--,Orthodox,--,1.5,39,2.77,46,0,0,100,0,1,2,0,0,1,0,1,1,0,8.65,1,
Justin,Frazier,"6'0""",265lbs.,"75""",Southpaw,Jun15 1989,1.11,66,6.11,4,0,0,0,0,11,3,0,0,1,0,1,0,1,3.6,1,
Ian,Freeman,"5'11""",225lbs.,--,Orthodox,Nov10 1966,2.54,48,3.11,44,1.44,40,80,0.7,19,7,1,1,1,0,1,3,1,46.25,6,
Jason,Freeman,"6'2""",225lbs.,--,,Sep02 1976,0,0,0,0,0,0,0,0,6,4,0 (1 NC),1,0,1,0,1,0,1.87,1,
Willamy,Freire,"5'8""",155lbs.,--,,Jul28 1987,1.53,37,0.93,62,0.5,100,73,0,19,5,0,0,2,0,2,0,0,30,2,
Patricio,Freire,"5'5""",145lbs.,--,,Jul07 1987,2.84,41,4.43,60,0.6,18,94,0.6,26,4,0,0,0,0,0,0,0,0,0,
Patricky,Freire,"5'7""",155lbs.,--,,Jun01 1986,3.06,44,3.34,69,1.26,33,100,0,17,8,0,0,0,0,0,0,0,0,0,
Rafael,Freitas,--,205lbs.,--,Orthodox,--,2,29,8,51,11.25,50,0,0,4,6,0 (1 NC),0,1,0,1,1,0,4,1,
Donavon,Frelow,"5'7""",135lbs.,--,Orthodox,Jan20 1985,2.4,27,3.2,52,1,100,26,0,6,3,0,0,0,0,0,0,0,0,0,
Clay,French,"5'7""",161lbs.,--,Southpaw,Oct07 1980,1.52,50,1.27,16,0,0,100,0,19,6,0,0,1,0,1,0,1,3.95,1,
Mike,French,"5'10""",145lbs.,--,,May29 1975,0.23,23,2.17,42,0,0,22,1,8,9,0,0,2,0,2,0,0,30,2,
Matt,Frevola,"5'9""",155lbs.,"71""",Orthodox,Jun11 1990,3.19,37,3.49,61,3.04,34,83,1.9,7,1,1,1,1,1,0,1,0,31,4,
Artem,Frolov,"5'10""",185lbs.,--,,Sep07 1991,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,
Sarah,Frota,"5'6""",125lbs.,"69""",Southpaw,Apr14 1987,4.52,52,2.57,55,0,0,53,0,9,2,0,0,2,0,2,1,0,24.22,2,
Don,Frye,"6'1""",219lbs.,--,Orthodox,Nov23 1965,2.87,64,3.57,37,0.91,57,45,0.7,20,9,1 (1 NC),0,3,0,4,10,4,79.4,17,
Tony,Fryklund,"6'0""",185lbs.,--,Orthodox,Mar26 1971,3.49,39,6.5,43,0,0,66,0.5,14,9,1,0,3,0,4,4,3,33.48,7,
Jesse,Fujarczyk,"6'4""",225lbs.,--,Southpaw,Jan28 1983,1.03,33,4.91,38,0,0,25,0,3,2,0,0,2,0,2,1,1,3.87,2,
Katsuhisa,Fujii,"6'0""",205lbs.,--,Orthodox,Aug15 1972,4,50,4.43,64,2.14,25,50,2.1,9,18,1,2,1,0,1,2,2,24.45,4,
Megumi,Fujii,"5'3""",113lbs.,--,,Apr26 1974,2.4,42,0,100,0,0,0,12,26,3,0,1,0,1,0,0,1,1.25,1,
Kazuyuki,Fujita,"6'0""",235lbs.,--,Orthodox,Oct16 1970,1.05,49,1.99,52,2.78,36,85,0.6,15,9,0,1,2,0,2,7,4,72.48,14,
Keisuke,Fujiwara,"5'6""",139lbs.,--,Switch,--,0.73,44,1.2,47,0,0,23,2.5,11,4,4,0,3,0,3,0,0,35,3,
Riki,Fukuda,"6'0""",185lbs.,"73""",Southpaw,Jan06 1981,4.24,43,3.71,64,2.17,43,70,0,19,7,0 (1 NC),1,2,0,1,0,0,85,6,
Masio,Fullen,"5'10""",145lbs.,"70""",Orthodox,Oct06 1986,2.46,32,3.5,54,0.47,33,69,0,10,6,0,1,2,0,2,0,1,31.68,3,
Travis,Fulton,"6'0""",240lbs.,--,Orthodox,May29 1977,0,0,0,0,0,0,0,0,127,49,10 (1 NC),1,2,0,1,0,1,31.47,3,
Sam,Fulton,--,--,--,,--,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,2,4.25,2,
Masakatsu,Funaki,"6'0""",185lbs.,--,Southpaw,Mar13 1969,1.82,68,2.92,35,0,0,0,5.5,39,13,1,1,2,1,0,1,2,8.23,3,
Ricardo,Funch,"5'10""",170lbs.,"76""",Southpaw,Aug14 1980,2.61,65,3.57,40,1.24,18,60,0,8,4,0,0,3,0,4,1,2,36.37,4,
Katsuaki,Furuki,"6'0""",168lbs.,--,,Nov10 1980,0.27,10,2.67,39,0,0,0,3,1,1,0,0,1,0,1,0,0,15,1,
James,Gabert,--,178lbs.,--,,--,0,0,0,0,0,0,0,0,6,4,0,0,1,0,1,0,0,15,1,
Gustavo,Gabriel,"5'6""",125lbs.,--,Orthodox,Apr01 1994,4.06,65,4.26,46,0,0,50,0,13,1,0,0,0,0,0,0,0,0,0,
Claudia,Gadelha,"5'4""",115lbs.,"63""",Orthodox,Dec07 1988,3.17,42,4.38,58,3.34,47,58,0.8,17,4,0,2,1,1,0,0,1,148.05,11,
Alavutdin,Gadjiev,"6'2""",185lbs.,--,Orthodox,Jun23 1982,0.99,27,0.99,57,0,0,50,0,18,12,1,0,1,0,1,0,1,3.03,1,
Justin,Gaethje,"5'11""",155lbs.,"70""",Orthodox,Nov14 1988,8.57,55,9.67,54,0,0,80,0,21,2,0,3,0,3,0,6,0,47.58,6,
Sheila,Gaff,"5'5""",135lbs.,"62""",Orthodox,Dec29 1989,1.6,50,2.89,28,0,0,20,0,10,6,1,0,2,0,2,2,0,6.23,2,
Muin,Gafurov,"5'7""",135lbs.,--,,May17 1996,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,
Mitch,Gagnon,"5'5""",135lbs.,"65""",Southpaw,Oct10 1984,2.76,46,2.21,61,1.16,25,65,1.9,12,5,0,0,3,0,3,0,5,77.87,8,
Brandon,Gaines,"6'3""",185lbs.,--,,--,0,0,0,0,0,0,0,0,5,16,0,0,1,0,1,0,1,6.47,1,
Travis,Galbraith,"6'0""",170lbs.,--,Orthodox,May18 1981,2.21,40,3.45,48,1.33,25,0,1.3,18,7,0,0,3,0,3,3,0,11.32,3,
Dave,Galera,"5'11""",135lbs.,--,Orthodox,Jan12 1978,1.67,69,0.53,33,0,0,14,2,5,1,0,0,1,0,1,0,0,15,1,
Zelg,Galesic,"6'2""",185lbs.,--,Orthodox,Feb16 1979,4.86,62,0.61,66,1.3,100,20,1.3,10,6,0,1,2,0,2,1,4,11.53,5,
Mickey,Gall,"6'2""",170lbs.,"74""",Switch,Jan22 1992,2.22,43,3.22,43,1.5,38,44,2.7,6,2,0,2,1,1,0,1,4,50.02,8,
Daniel,Gallemore,"6'5""",265lbs.,--,,--,3.1,41,6,52,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,
Tom,Gallicchio,"5'10""",170lbs.,"73""",Southpaw,Sep23 1986,3.53,26,7.07,43,1,11,0,0,19,11,0,0,1,0,1,0,0,15,1,
Turrell,Galloway,"5'3""",145lbs.,--,,--,0,0,0,0,0,0,0,0,5,2,0,1,0,1,0,0,1,1.35,1,
Eric,Galvan,--,155lbs.,--,,--,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,15,1,
Andre,Galvao,"5'7""",168lbs.,--,Orthodox,Sep29 1982,2.34,52,1.56,58,2.02,27,0,2.8,5,2,0,2,1,0,1,2,1,47.12,5,
Marcos,Galvao,"5'7""",135lbs.,--,Orthodox,Jun23 1981,1.97,32,3.86,61,2.27,28,88,1.1,11,5,1,0,2,0,2,2,0,7.45,2,
Lucas,Gamaza,--,170lbs.,--,,--,7.57,31,6.99,45,0,0,0,0,5,2,0,0,1,0,1,1,0,3.43,1,
Joey,Gambino,"5'7""",145lbs.,--,Orthodox,Oct26 1988,2.47,35,2.53,51,0,0,42,0.8,9,2,0,0,2,0,2,0,1,17.78,2,
Manvel,Gamburyan,"5'5""",135lbs.,"67""",Orthodox,May08 1981,2.13,41,2.83,55,3.26,34,69,0.7,18,11,0 (1 NC),1,2,0,2,5,4,183.95,19,
Shamil,Gamzatov,"6'2""",205lbs.,--,,Aug09 1990,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,
Ariel,Gandulla,"5'11""",205lbs.,--,Orthodox,May07 1968,1.95,23,2.07,72,1.88,66,0,0,6,6,0 (1 NC),1,1,0,1,0,1,15.92,2,
Ciryl,Gane,"6'4""",245lbs.,"81""",Orthodox,Apr12 1990,3.57,68,1.67,82,0,0,100,3.6,4,0,0,1,0,1,0,0,1,4.2,2,
Sean,Gannon,"6'3""",265lbs.,--,Southpaw,--,0,0,6.38,28,0,0,50,0,2,1,0,0,1,0,1,1,0,4.23,1,
Eduardo,Garagorri,"5'9""",145lbs.,"70""",Orthodox,May28 1989,4.33,56,2.13,54,1,100,60,0,13,0,0,1,0,1,0,0,0,15,1,
Cody,Garbrandt,"5'8""",135lbs.,"65""",Orthodox,Jul07 1991,3.53,37,3.53,64,0.94,33,100,0,11,3,0,0,3,0,3,7,0,79.53,9,
Leonard,Garcia,"5'10""",145lbs.,"69""",Orthodox,Jul14 1979,2.77,24,4.79,52,0.3,26,42,0.5,19,11,1,0,3,0,5,2,3,199.02,17,
Edgar,Garcia,"5'10""",170lbs.,"71""",Orthodox,Feb22 1984,3.16,29,4.23,60,2.21,57,50,0.6,14,5,0,0,3,0,4,2,2,27.18,5,
Alejandro,Garcia,"5'7""",145lbs.,--,,--,1.22,62,1.14,65,8.55,87,66,0,14,5,0 (1 NC),0,1,0,1,0,1,12.28,1,
Alex,Garcia,"5'9""",170lbs.,"72""",Orthodox,Jul14 1987,1.81,31,3.03,59,3.72,52,66,0.1,15,6,0,1,2,0,2,3,1,117.07,10,
Nick,Garcia,"5'4""",125lbs.,--,,--,0.67,25,3.03,50,0,0,83,5.1,8,3,0 (1 NC),0,0,0,0,0,0,0,0,
Steve,Garcia,"6'0""",135lbs.,"75""",Southpaw,May22 1992,8.89,55,3.66,37,0,0,100,0,9,3,0,0,0,0,0,0,0,0,0,
Elias,Garcia,"5'5""",125lbs.,"67""",Southpaw,Sep13 1992,1.59,27,5.05,50,0.68,14,33,1.4,6,2,0,0,2,0,2,0,1,22,2,
Rulon,Gardner,"6'3""",265lbs.,--,Orthodox,Aug16 1971,2.05,25,1.45,60,0.75,100,100,0,1,0,0,1,0,1,0,0,0,15,1,
David,Gardner,"5'11""",155lbs.,--,Orthodox,May17 1977,0.17,100,0.34,0,0,0,66,0,18,19,0,0,1,0,1,0,1,5.97,1,
Pablo,Garza,"6'1""",145lbs.,"73""",Orthodox,Sep16 1983,3.37,44,2.7,50,0.94,25,15,1.3,13,4,0,1,2,0,1,1,4,47.78,7,
Azamat,Gashimov,"5'6""",125lbs.,"66""",Orthodox,Apr07 1990,1.24,21,4.75,53,1.69,25,0,0,10,3,0,0,2,0,2,1,1,8.85,2,
Brian,Gassaway,"6'1""",170lbs.,--,Orthodox,Aug07 1972,0.34,26,3.65,44,0,0,42,0,29,20,2 (1 NC),0,2,0,2,1,1,11.77,2,
Kelvin,Gastelum,"5'9""",185lbs.,"71""",Southpaw,Oct24 1991,3.83,43,3.06,60,0.79,37,62,0.2,16,4,0 (1 NC),2,1,0,1,3,3,190.07,16,
Willie,Gates,"5'8""",125lbs.,"70""",Orthodox,Jan21 1987,1.8,38,4.28,38,0,0,67,0.4,12,7,0,1,2,0,2,2,2,37.17,4,
Melissa,Gatto,"5'5""",135lbs.,--,Orthodox,Feb05 1996,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,
Louis,Gaudinot,"5'3""",125lbs.,"63""",Orthodox,Aug28 1984,2.34,37,6.42,48,0.57,40,31,1.1,6,4,0 (1 NC),0,2,0,2,1,1,53.08,5,
Charlene,Gellner,"5'2""",125lbs.,--,,--,2.01,42,3.24,43,0,0,0,1.7,0,2,0,0,1,0,1,1,0,8.95,1,
Chad,George,"5'6""",135lbs.,"68""",Southpaw,Apr30 1982,1.26,50,1.11,65,3.08,46,0,1.3,13,6,0,1,2,0,2,0,1,30.52,3,
Paul,Georgieff,"6'2""",170lbs.,--,Orthodox,Sep22 1982,2.55,40,2.34,35,0,0,0,0,6,2,0,0,1,0,1,0,1,4.7,1,
Brian,Geraghty,"5'7""",155lbs.,--,Orthodox,Nov04 1980,0.47,25,9.77,36,0,0,50,0,24,17,1,0,1,0,1,1,0,2.15,1,
Derek,Getzel,"6'0""",155lbs.,--,,--,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,0,1,4.65,1,
Karine,Gevorgyan,"5'4""",125lbs.,"63""",,Mar09 1989,1.2,20,1.8,76,0,0,0,0,3,3,0,0,1,0,1,0,1,1.67,1,
Darrel,Gholar,"5'8""",194lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,5,6,0,0,1,0,1,0,1,7.95,1,
Tiki,Ghosn,"5'10""",170lbs.,--,Orthodox,Feb09 1977,2.78,46,2.94,58,0.41,50,61,0,10,7,1,1,2,1,0,4,4,82.87,10,
Christos,Giagos,"5'10""",155lbs.,"71""",Orthodox,Jan23 1990,3.05,40,2.73,49,2.74,42,50,0.4,17,8,0,2,1,0,1,0,3,76.52,7,
Joe,Giannetti,"6'0""",155lbs.,"74""",Southpaw,Jul05 1995,1.93,38,2.8,40,1,16,0,0,7,1,0,0,1,0,1,0,0,15,1,
Nick,Gibbons,"5'10""",155lbs.,--,,--,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,1,1.08,1,
James,Giboo,"5'11""",170lbs.,--,Orthodox,Jan06 1978,1.2,27,7.08,39,0,0,0,0,13,5,0,0,1,0,1,1,0,7.48,1,
Lance,Gibson,"5'9""",185lbs.,--,Orthodox,Nov20 1970,1.21,75,6.44,20,0,0,0,0,4,5,0,1,1,0,1,2,0,18.55,2,
Lee,Gibson,"5'7""",155lbs.,--,,--,0,0,0,0,0,0,0,0,12,3,0,1,0,1,0,1,0,4.65,1,
Cody,Gibson,"5'10""",135lbs.,"71""",Orthodox,Sep11 1987,2.47,31,2.54,63,1.85,38,58,0.4,12,6,0,1,2,0,2,1,1,40.57,4,
Kenny,Giddens,"5'11""",155lbs.,--,,--,0,0,0,0,0,0,0,0,12,7,0,1,0,1,0,0,1,9.25,1,
Thomas,Gifford,"6'1""",155lbs.,"75""",Orthodox,Jul26 1992,2,42,3.53,37,1,100,50,0,17,8,0 (2 NC),0,1,0,1,0,0,15,2,
Joe,Gigliotti,"5'11""",185lbs.,"69""",Orthodox,Aug13 1993,1.04,39,2.92,45,1.56,100,50,0.8,7,2,0,0,2,0,2,0,1,19.2,2,
Joey,Gilbert,"5'11""",155lbs.,--,Orthodox,Jun05 1976,0.61,42,4.44,31,0,0,0,0,2,3,0,0,1,0,1,1,0,4.95,1,
Trevin,Giles,"6'0""",185lbs.,"74""",Orthodox,Aug06 1992,3.25,61,1.36,70,1.95,100,72,0,11,2,0,1,2,0,2,2,2,46.18,4,
Kultar,Gill,"6'0""",154lbs.,--,Orthodox,Mar24 1979,1.14,50,0.4,41,1.71,66,38,0,10,8,0,0,2,0,2,0,1,12.55,2,
Jesse,Gillespie,--,185lbs.,--,,--,0,0,0,0,0,0,0,0,3,2,0,1,2,1,0,1,1,27.63,4,
Gregor,Gillespie,"5'7""",155lbs.,"71""",Orthodox,Nov13 1986,3.6,53,1.81,58,7.44,48,0,1,13,0,0,3,0,6,0,3,2,46.38,7,
Jason,Gilliam,"6'0""",170lbs.,--,Orthodox,--,0.79,33,3.14,42,0,0,0,0,14,5,0,0,2,0,2,0,2,3.82,2,
Krishaun,Gilmore,--,--,--,,--,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,8.77,1,
Alex,Gilpin,"5'7""",145lbs.,"72""",Orthodox,Mar26 1992,6.8,54,12.29,42,2.17,25,0,2.2,11,1,0,0,0,0,0,0,0,0,0,
Bob,Gilstrap,"6'3""",200lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,5,6,0,0,1,0,1,0,1,0.87,1,
Demetrius,Gioulacos,"5'11""",185lbs.,--,,--,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Billy,Giovanella,"5'8""",125lbs.,--,,Aug20 1985,1.27,40,2.02,52,0.87,12,100,1.7,9,5,0,0,0,0,0,0,0,0,0,
He-Man,Gipson,--,--,--,,--,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,0,3.1,1,
Israel,Giron,"5'8""",155lbs.,--,,Jan16 1974,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,
Brandon,Girtz,"5'7""",155lbs.,--,,Mar06 1985,2.5,60,1.92,47,5.76,100,100,0,14,7,0,0,0,0,0,0,0,0,0,
Jason,Glaza,"6'0""",230lbs.,--,,--,4.34,54,0.43,40,4.34,100,0,4.3,3,2,0,0,0,0,0,0,0,0,0,
Mike,Glenn,--,205lbs.,--,,Oct09 1977,0,0,0,0,0,0,0,0,5,6,0,1,0,1,0,1,0,2,1,
Rick,Glenn,"6'0""",145lbs.,"70""",Southpaw,Apr12 1989,4.31,42,4.29,53,0.67,13,66,0.3,21,6,1,1,2,0,1,0,0,90,6,
Mark,Godbeer,"6'4""",240lbs.,"77""",Orthodox,Nov22 1983,3.97,53,3.3,54,0,0,28,0,13,4,0,2,1,0,1,0,2,31.23,4,
Clint,Godfrey,"5'6""",135lbs.,--,Southpaw,Oct21 1982,0.57,31,0.96,65,0.85,25,50,0,12,3,0,0,2,0,2,0,1,17.7,2,
Jason,Godsey,"6'2""",230lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,16,16,0,0,2,0,2,0,2,4.07,2,
Allan,Goes,"6'0""",205lbs.,--,Orthodox,Apr20 1971,0.64,52,1.35,41,1.75,40,0,2.6,10,5,2,1,2,0,2,2,1,46.37,6,
Jonny,Goh,"5'11""",155lbs.,--,,--,0,0,0,0,0,0,0,0,3,4,0,0,1,0,1,0,0,15,1,
